Stripe_number,Speed_rad/s,Direction,Start_s,End_s,Stripe_width,Speed_deg/s,Col_1,Col_2,
0,0,P_1,0,60,0,0,#000000,#000000,60
14,0,P_1,60,300,8.1,0,#838383,#7C7C7C,240
14,0.36,CW,300,390,8.1,20.63,#838383,#7C7C7C,90
14,0,P_2,390,420,8.1,0,#838383,#7C7C7C,30
14,-0.36,CCW,420,510,8.1,-20.63,#838383,#7C7C7C,90
14,0,P_1,510,540,8.1,0,#878787,#787878,30
14,0.36,CW,540,630,8.1,20.63,#878787,#787878,90
14,0,P_2,630,660,8.1,0,#878787,#787878,30
14,-0.36,CCW,660,750,8.1,-20.63,#878787,#787878,90
14,0,P_1,750,780,8.1,0,#8B8B8B,#747474,30
14,0.36,CW,780,870,8.1,20.63,#8B8B8B,#747474,90
14,0,P_2,870,900,8.1,0,#8B8B8B,#747474,30
14,-0.36,CCW,900,990,8.1,-20.63,#8B8B8B,#747474,90
14,0,P_1,990,1020,8.1,0,#999999,#666666,30
14,0.36,CW,1020,1110,8.1,20.63,#999999,#666666,90
14,0,P_2,1110,1140,8.1,0,#999999,#666666,30
14,-0.36,CCW,1140,1230,8.1,-20.63,#999999,#666666,90
14,0,P_1,1230,1260,8.1,0,#B3B3B3,#4D4D4D,30
14,0.36,CW,1260,1350,8.1,20.63,#B3B3B3,#4D4D4D,90
14,0,P_2,1350,1380,8.1,0,#B3B3B3,#4D4D4D,30
14,-0.36,CCW,1380,1470,8.1,-20.63,#B3B3B3,#4D4D4D,90
14,0,P_1,1470,1500,8.1,0,#D9D9D9,#262626,30
14,0.36,CW,1500,1590,8.1,20.63,#D9D9D9,#262626,90
14,0,P_2,1590,1620,8.1,0,#D9D9D9,#262626,30
14,-0.36,CCW,1620,1710,8.1,-20.63,#D9D9D9,#262626,90
14,0,P_1,1710,1740,8.1,0,#FFFFFF,#000000,30
14,0.36,CW,1740,1830,8.1,20.63,#FFFFFF,#000000,90
14,0,P_2,1830,1860,8.1,0,#FFFFFF,#000000,30
14,-0.36,CCW,1860,1950,8.1,-20.63,#FFFFFF,#000000,90
14,0,P_1,1950,2130,8.1,0,#000000,#000020,180
14,0.36,CW,2130,2220,8.1,20.63,#000000,#000020,90
14,0,P_2,2220,2250,8.1,0,#000000,#000020,30
14,-0.36,CCW,2250,2340,8.1,-20.63,#000000,#000020,90
14,0,P_1,2340,2370,8.1,0,#000000,#000040,30
14,0.36,CW,2370,2460,8.1,20.63,#000000,#000040,90
14,0,P_2,2460,2490,8.1,0,#000000,#000040,30
14,-0.36,CCW,2490,2580,8.1,-20.63,#000000,#000040,90
14,0,P_1,2580,2610,8.1,0,#000000,#00007F,30
14,0.36,CW,2610,2700,8.1,20.63,#000000,#00007F,90
14,0,P_2,2700,2730,8.1,0,#000000,#00007F,30
14,-0.36,CCW,2730,2820,8.1,-20.63,#000000,#00007F,90
14,0,P_1,2820,2850,8.1,0,#000000,#0000FF,30
14,0.36,CW,2850,2940,8.1,20.63,#000000,#0000FF,90
14,0,P_2,2940,2970,8.1,0,#000000,#0000FF,30
14,-0.36,CCW,2970,3060,8.1,-20.63,#000000,#0000FF,90
14,0,P_1,3060,3240,8.1,0,#000000,#200000,180
14,0.36,CW,3240,3330,8.1,20.63,#000000,#200000,90
14,0,P_2,3330,3360,8.1,0,#000000,#200000,30
14,-0.36,CCW,3360,3450,8.1,-20.63,#000000,#200000,90
14,0,P_1,3450,3480,8.1,0,#000000,#400000,30
14,0.36,CW,3480,3570,8.1,20.63,#000000,#400000,90
14,0,P_2,3570,3600,8.1,0,#000000,#400000,30
14,-0.36,CCW,3600,3690,8.1,-20.63,#000000,#400000,90
14,0,P_1,3690,3720,8.1,0,#000000,#7F0000,30
14,0.36,CW,3720,3810,8.1,20.63,#000000,#7F0000,90
14,0,P_2,3810,3840,8.1,0,#000000,#7F0000,30
14,-0.36,CCW,3840,3930,8.1,-20.63,#000000,#7F0000,90
14,0,P_1,3930,3960,8.1,0,#000000,#FF0000,30
14,0.36,CW,3960,4050,8.1,20.63,#000000,#FF0000,90
14,0,P_2,4050,4080,8.1,0,#000000,#FF0000,30
14,-0.36,CCW,4080,4170,8.1,-20.63,#000000,#FF0000,90
14,0,P_1,4170,4350,8.1,0,#000000,#002000,180
14,0.36,CW,4350,4440,8.1,20.63,#000000,#002000,90
14,0,P_2,4440,4470,8.1,0,#000000,#002000,30
14,-0.36,CCW,4470,4560,8.1,-20.63,#000000,#002000,90
14,0,P_1,4560,4590,8.1,0,#000000,#004000,30
14,0.36,CW,4590,4680,8.1,20.63,#000000,#004000,90
14,0,P_2,4680,4710,8.1,0,#000000,#004000,30
14,-0.36,CCW,4710,4800,8.1,-20.63,#000000,#004000,90
14,0,P_1,4800,4830,8.1,0,#000000,#007F00,30
14,0.36,CW,4830,4920,8.1,20.63,#000000,#007F00,90
14,0,P_2,4920,4950,8.1,0,#000000,#007F00,30
14,-0.36,CCW,4950,5040,8.1,-20.63,#000000,#007F00,90
14,0,P_1,5040,5070,8.1,0,#000000,#00FF00,30
14,0.36,CW,5070,5160,8.1,20.63,#000000,#00FF00,90
14,0,P_2,5160,5190,8.1,0,#000000,#00FF00,30
14,-0.36,CCW,5190,5280,8.1,-20.63,#000000,#00FF00,90
14,0,P_1,5280,5880,8.1,0,#ff7b00,#ff00b2,600
14,0.36,CW,5880,5970,8.1,20.63,#ff7b00,#ff00b2,90
14,0,P_2,5970,6000,8.1,0,#ff7b00,#ff00b2,30
14,-0.36,CCW,6000,6090,8.1,-20.63,#ff7b00,#ff00b2,90
14,0,P_1,6090,6120,8.1,0,#FF76D5,#BABABA,30
14,0.36,CW,6120,6210,8.1,20.63,#FF76D5,#BABABA,90
14,0,P_2,6210,6240,8.1,0,#FF76D5,#BABABA,30
14,-0.36,CCW,6240,6330,8.1,-20.63,#FF76D5,#BABABA,90
14,0,P_1,6330,6360,8.1,0,#FF76D5,#77D6FD,30
14,0.36,CW,6360,6450,8.1,20.63,#FF76D5,#77D6FD,90
14,0,P_2,6450,6480,8.1,0,#FF76D5,#77D6FD,30
14,-0.36,CCW,6480,6570,8.1,-20.63,#FF76D5,#77D6FD,90
14,0,P_1,6570,6600,8.1,0,#ccc200,#29cc00,30
14,0.36,CW,6600,6690,8.1,20.63,#ccc200,#29cc00,90
14,0,P_2,6690,6720,8.1,0,#ccc200,#29cc00,30
14,-0.36,CCW,6720,6810,8.1,-20.63,#ccc200,#29cc00,90
14,0,P_1,6810,6840,8.1,0,#33ff00,#ff7b00,30
14,0.36,CW,6840,6930,8.1,20.63,#33ff00,#ff7b00,90
14,0,P_2,6930,6960,8.1,0,#33ff00,#ff7b00,30
14,-0.36,CCW,6960,7050,8.1,-20.63,#33ff00,#ff7b00,90
14,0,P_1,7050,7080,8.1,0,#666666,#ccc200,30
14,0.36,CW,7080,7170,8.1,20.63,#666666,#ccc200,90
14,0,P_2,7170,7200,8.1,0,#666666,#ccc200,30
14,-0.36,CCW,7200,7290,8.1,-20.63,#666666,#ccc200,90
14,0,P_1,7290,7320,8.1,0,#05b4ff,#05ff05,30
14,0.36,CW,7320,7410,8.1,20.63,#05b4ff,#05ff05,90
14,0,P_2,7410,7440,8.1,0,#05b4ff,#05ff05,30
14,-0.36,CCW,7440,7530,8.1,-20.63,#05b4ff,#05ff05,90
14,0,P_1,7530,7560,8.1,0,#3B3BFF,#a13dff,30
14,0.36,CW,7560,7650,8.1,20.63,#3B3BFF,#a13dff,90
14,0,P_2,7650,7680,8.1,0,#3B3BFF,#a13dff,30
14,-0.36,CCW,7680,7770,8.1,-20.63,#3B3BFF,#a13dff,90
14,0,P_3,7770,7980,8.1,0,#3B3BFF,#a13dff,210
